order_date,po_id,supplier_id,supplier_region,supplier_country,part_id,part_type,category,unit_of_measure,delivery_qty,unit_cost_usd,total_cost_usd,promised_lead_time_days,actual_lead_time_days,on_time_flag,defect_flag,defect_reason,order_month_start,risk_score_month,risk_score
1/2/23,PO-8d17a514,SU-003,Asia,India,PART-3c303ce5,Diesel Engine,Engines,ea,3,33120.93,99362.79,35,34,1,0,No Defect,1/1/23,1/1/23,22.432362119695565
1/2/23,PO-d3fd474b,SU-009,Europe,Germany,PART-9002654c,Seal Kit,Hydraulics,pk,9,87.24,785.16,14,14,1,0,No Defect,1/1/23,1/1/23,66.0335627
1/2/23,PO-e4879d9d,SU-001,Asia,South Korea,PART-23d2e29d,Wiring Harness,Electronics,ft,14,0.61,8.54,23,23,1,1,Nonconformance,1/1/23,1/1/23,54.04095128056674
1/2/23,PO-7dda36d9,SU-009,Europe,Germany,PART-0a30915c,Hydraulic Pump,Hydraulics,ea,5,400.79,2003.95,19,14,1,0,No Defect,1/1/23,1/1/23,66.0335627
1/2/23,PO-7c7e6ad9,SU-012,North America,USA,PART-18b4954a,Engine Oil,Lubricants & Fluids,gal,159,19.41,3086.19,7,7,1,0,No Defect,1/1/23,1/1/23,1.138295252777513
1/2/23,PO-6abafd68,SU-006,South America,Brazil,PART-5902e85c,Ripper,Attachments,ea,4,1909.21,7636.84,47,44,1,0,No Defect,1/1/23,1/1/23,81.41017331730828
1/2/23,PO-7326ae2c,SU-009,Europe,Germany,PART-0cf80665,Hydraulic Cylinder,Hydraulics,ea,13,192.9,2507.7,27,27,1,0,No Defect,1/1/23,1/1/23,66.0335627
1/2/23,PO-4246bd41,SU-009,Europe,Germany,PART-4888e870,Control Valve,Hydraulics,ea,12,262.41,3148.92,18,16,1,0,No Defect,1/1/23,1/1/23,66.0335627
1/2/23,PO-5cf96ef1,SU-001,Asia,South Korea,PART-47327335,ECM (Engine Control Module),Electronics,ea,12,997.59,11971.08,36,32,1,0,No Defect,1/1/23,1/1/23,54.04095128056674
1/3/23,PO-42908216,SU-009,Europe,Germany,PART-92688dfb,Hydraulic Hose,Hydraulics,ft,12,3.49,41.88,18,18,1,0,No Defect,1/1/23,1/1/23,66.0335627
1/3/23,PO-bbaed84b,SU-001,Asia,India,PART-1b818820,Steel Beam,Steel,ft,2589,11.55,29902.95,27,23,1,0,No Defect,1/1/23,1/1/23,54.04095128056674
1/3/23,PO-9b99aa89,SU-006,South America,Brazil,PART-5902e85c,Ripper,Attachments,ea,2,1909.21,3818.42,55,53,1,0,No Defect,1/1/23,1/1/23,81.41017331730828
1/3/23,PO-4a2929c6,SU-009,Europe,Germany,PART-92688dfb,Hydraulic Hose,Hydraulics,ft,15,3.49,52.35,14,13,1,0,No Defect,1/1/23,1/1/23,66.0335627
1/3/23,PO-8c69bd1c,SU-005,Asia,China,PART-c697d757,Stud,Fasteners,ea,327,3.44,1124.88,7,7,1,0,No Defect,1/1/23,1/1/23,28.259344083207427
1/3/23,PO-fb940d91,SU-005,North America,USA,PART-e4bd0da9,Hydraulic Filter,Filters,ea,92,32.78,3015.76,7,7,1,0,No Defect,1/1/23,1/1/23,28.259344083207427
1/3/23,PO-5d848186,SU-004,Asia,India,PART-02476ffd,Sprocket,Undercarriage,ea,19,483.94,9194.86,31,22,1,0,No Defect,1/1/23,1/1/23,14.099088736021544
1/3/23,PO-8908b030,SU-010,North America,Mexico,PART-90c1ac34,Track Link,Undercarriage,ea,27,4834.28,130525.56,20,20,1,0,No Defect,1/1/23,1/1/23,32.01825109142046
1/3/23,PO-861d285e,SU-012,North America,USA,PART-bf4a454b,Air Filter,Filters,ea,148,31.21,4619.08,6,6,1,0,No Defect,1/1/23,1/1/23,1.138295252777513
1/3/23,PO-220a4962,SU-008,North America,USA,PART-aea60078,Instrument Panel,Cabs & Controls,ea,15,1298.97,19484.55,32,32,1,0,No Defect,1/1/23,1/1/23,10.34676771421877
1/4/23,PO-594fe088,SU-001,Asia,South Korea,PART-9ebe2a95,GPS Module,Electronics,ea,30,35.11,1053.3,34,33,1,0,No Defect,1/1/23,1/1/23,54.04095128056674
1/4/23,PO-f6aac221,SU-005,North America,USA,PART-42399920,Cabin Filter,Filters,ea,81,23.87,1933.47,7,7,1,0,No Defect,1/1/23,1/1/23,28.259344083207427
1/4/23,PO-bdb4ba44,SU-010,North America,Mexico,PART-90c1ac34,Track Link,Undercarriage,ea,40,4834.28,193371.2,22,22,1,0,No Defect,1/1/23,1/1/23,32.01825109142046
1/4/23,PO-ec94b13a,SU-001,Asia,South Korea,PART-0900a8a8,Pressure Sensor,Electronics,ea,8,200.99,1607.92,41,41,1,0,No Defect,1/1/23,1/1/23,54.04095128056674
1/4/23,PO-6ca0ae2a,SU-006,South America,Brazil,PART-5902e85c,Ripper,Attachments,ea,2,1909.21,3818.42,21,16,1,0,No Defect,1/1/23,1/1/23,81.41017331730828
1/4/23,PO-f05648df,SU-007,Europe,Netherlands,PART-5edada95,Hydraulic Fluid,Lubricants & Fluids,gal,69,22.99,1586.31,5,5,1,0,No Defect,1/1/23,1/1/23,0.3178765324723068
1/4/23,PO-a15ba337,SU-011,Asia,India,PART-5902e85c,Ripper,Attachments,ea,1,1896.02,1896.02,30,30,1,1,Incorrect Specs,1/1/23,1/1/23,52.81460542842663
1/4/23,PO-1bdd6d54,SU-012,North America,USA,PART-42399920,Cabin Filter,Filters,ea,130,24.62,3200.6,7,7,1,0,No Defect,1/1/23,1/1/23,1.138295252777513
1/4/23,PO-cb03dc33,SU-010,Asia,South Korea,PART-c1cb8998,Steel Casting,Steel,lb,4855,3.06,14856.3,20,20,1,0,No Defect,1/1/23,1/1/23,32.01825109142046
1/4/23,PO-ae81d21f,SU-010,Asia,South Korea,PART-7c205b95,Steel Plate,Steel,lb,4692,0.63,2955.96,20,20,1,0,No Defect,1/1/23,1/1/23,32.01825109142046
1/5/23,PO-0f24f956,SU-012,North America,USA,PART-4e8d7802,Transmission Oil,Lubricants & Fluids,gal,163,23.09,3763.67,6,6,1,0,No Defect,1/1/23,1/1/23,1.138295252777513
1/5/23,PO-f92957cb,SU-009,Europe,Germany,PART-4888e870,Control Valve,Hydraulics,ea,14,262.41,3673.74,14,13,1,0,No Defect,1/1/23,1/1/23,66.0335627
1/5/23,PO-0b25a068,SU-007,Europe,Netherlands,PART-18b4954a,Engine Oil,Lubricants & Fluids,gal,109,19.8,2158.2,5,5,1,0,No Defect,1/1/23,1/1/23,0.3178765324723068
1/5/23,PO-aca0f522,SU-007,Europe,Netherlands,PART-18b4954a,Engine Oil,Lubricants & Fluids,gal,119,19.8,2356.2,7,5,1,0,No Defect,1/1/23,1/1/23,0.3178765324723068
1/5/23,PO-ff444eef,SU-012,North America,USA,PART-bf4a454b,Air Filter,Filters,ea,175,31.21,5461.75,7,6,1,0,No Defect,1/1/23,1/1/23,1.138295252777513
1/5/23,PO-bdf74361,SU-001,Asia,India,PART-c1cb8998,Steel Casting,Steel,lb,1225,2.9,3552.5,19,18,1,0,No Defect,1/1/23,1/1/23,54.04095128056674
1/5/23,PO-45d9ad81,SU-002,Europe,Germany,PART-9002654c,Seal Kit,Hydraulics,pk,4,87.41,349.64,19,19,1,0,No Defect,1/1/23,1/1/23,5.7008987849036705
1/5/23,PO-5bc946b0,SU-003,Asia,India,PART-3c303ce5,Diesel Engine,Engines,ea,1,33120.93,33120.93,57,57,1,0,No Defect,1/1/23,1/1/23,22.432362119695565
1/5/23,PO-25f5545d,SU-001,Asia,South Korea,PART-9ebe2a95,GPS Module,Electronics,ea,17,35.11,596.87,22,22,1,0,No Defect,1/1/23,1/1/23,54.04095128056674
1/5/23,PO-58393676,SU-009,Europe,Germany,PART-9002654c,Seal Kit,Hydraulics,pk,6,87.24,523.44,14,17,0,0,No Defect,1/1/23,1/1/23,66.0335627
1/6/23,PO-0656f68a,SU-011,Asia,China,PART-1750e948,Turbocharger,Engines,ea,3,1038.02,3114.06,71,71,1,0,No Defect,1/1/23,1/1/23,52.81460542842663
1/6/23,PO-626a907d,SU-012,North America,USA,PART-4e8d7802,Transmission Oil,Lubricants & Fluids,gal,22,23.09,507.98,6,6,1,0,No Defect,1/1/23,1/1/23,1.138295252777513
1/6/23,PO-28ba4773,SU-005,North America,USA,PART-bf4a454b,Air Filter,Filters,ea,181,30.27,5478.87,10,10,1,0,No Defect,1/1/23,1/1/23,28.259344083207427
1/6/23,PO-fe49bb8a,SU-004,Asia,India,PART-8f2135f2,Track Roller,Undercarriage,ea,7,181.38,1269.66,44,39,1,0,No Defect,1/1/23,1/1/23,14.099088736021544
1/6/23,PO-63b4b0ce,SU-012,North America,USA,PART-bf4a454b,Air Filter,Filters,ea,155,31.21,4837.55,6,6,1,0,No Defect,1/1/23,1/1/23,1.138295252777513
1/6/23,PO-6fa0ad1a,SU-006,South America,Brazil,PART-5902e85c,Ripper,Attachments,ea,4,1909.21,7636.84,51,51,1,0,No Defect,1/1/23,1/1/23,81.41017331730828
1/6/23,PO-b84cd843,SU-005,Asia,China,PART-4af45281,Washer,Fasteners,ea,73,0.1,7.3,7,6,1,0,No Defect,1/1/23,1/1/23,28.259344083207427
1/6/23,PO-6234318a,SU-009,Europe,Germany,PART-4888e870,Control Valve,Hydraulics,ea,5,262.41,1312.05,29,29,1,0,No Defect,1/1/23,1/1/23,66.0335627
1/6/23,PO-58b71fe9,SU-011,Asia,China,PART-1750e948,Turbocharger,Engines,ea,3,1038.02,3114.06,82,88,0,0,No Defect,1/1/23,1/1/23,52.81460542842663
1/6/23,PO-91e6800d,SU-001,Asia,South Korea,PART-86940171,Temperature Sensor,Electronics,ea,30,38.6,1158,22,22,1,0,No Defect,1/1/23,1/1/23,54.04095128056674
1/7/23,PO-2dbff8e1,SU-002,Europe,Germany,PART-92688dfb,Hydraulic Hose,Hydraulics,ft,9,3.49,31.41,13,13,1,0,No Defect,1/1/23,1/1/23,5.7008987849036705
1/7/23,PO-9a102676,SU-001,Asia,South Korea,PART-0900a8a8,Pressure Sensor,Electronics,ea,6,200.99,1205.94,27,24,1,0,No Defect,1/1/23,1/1/23,54.04095128056674
1/7/23,PO-0f8e95e9,SU-002,Europe,Germany,PART-0cf80665,Hydraulic Cylinder,Hydraulics,ea,4,193.27,773.08,16,16,1,0,No Defect,1/1/23,1/1/23,5.7008987849036705
1/7/23,PO-6caf7234,SU-001,Asia,India,PART-115a79aa,Forged Steel Pin,Steel,ea,2765,112.5,311062.5,22,22,1,0,No Defect,1/1/23,1/1/23,54.04095128056674
1/7/23,PO-b204c3ce,SU-011,Asia,India,PART-2b5d6159,Fork Assembly,Attachments,ea,2,991.63,1983.26,30,30,1,0,No Defect,1/1/23,1/1/23,52.81460542842663
1/7/23,PO-c53eb38d,SU-012,North America,USA,PART-e4bd0da9,Hydraulic Filter,Filters,ea,29,33.8,980.2,7,7,1,0,No Defect,1/1/23,1/1/23,1.138295252777513
1/7/23,PO-f740544c,SU-009,Asia,South Korea,PART-86940171,Temperature Sensor,Electronics,ea,10,38.68,386.8,23,23,1,0,No Defect,1/1/23,1/1/23,66.0335627
1/7/23,PO-4a5e7864,SU-012,North America,USA,PART-a901d4b0,Engine Oil Filter,Filters,ea,175,14.81,2591.75,7,7,1,0,No Defect,1/1/23,1/1/23,1.138295252777513
1/7/23,PO-aa3e3ec5,SU-005,North America,USA,PART-f2d432f3,Fuel Filter,Filters,ea,50,57.73,2886.5,9,9,1,0,No Defect,1/1/23,1/1/23,28.259344083207427
1/7/23,PO-d7c86235,SU-010,North America,Mexico,PART-dee85722,Wheel Rim,Undercarriage,ea,20,527.4,10548,43,43,1,0,No Defect,1/1/23,1/1/23,32.01825109142046
1/8/23,PO-a6d62a2f,SU-002,Europe,Germany,PART-0cf80665,Hydraulic Cylinder,Hydraulics,ea,6,193.27,1159.62,24,20,1,0,No Defect,1/1/23,1/1/23,5.7008987849036705
1/8/23,PO-f7f7f542,SU-007,Europe,Netherlands,PART-4e8d7802,Transmission Oil,Lubricants & Fluids,gal,14,23.55,329.7,5,5,1,0,No Defect,1/1/23,1/1/23,0.3178765324723068
1/8/23,PO-0f48c2aa,SU-007,Europe,Netherlands,PART-5edada95,Hydraulic Fluid,Lubricants & Fluids,gal,179,22.99,4115.21,5,5,1,0,No Defect,1/1/23,1/1/23,0.3178765324723068
1/8/23,PO-6067a2de,SU-002,Europe,Germany,PART-0a30915c,Hydraulic Pump,Hydraulics,ea,16,401.55,6424.8,12,8,1,0,No Defect,1/1/23,1/1/23,5.7008987849036705
1/8/23,PO-d198fa67,SU-003,Asia,India,PART-3c303ce5,Diesel Engine,Engines,ea,3,33120.93,99362.79,35,35,1,0,No Defect,1/1/23,1/1/23,22.432362119695565
1/8/23,PO-686787b1,SU-004,Asia,India,PART-dee85722,Wheel Rim,Undercarriage,ea,39,519.91,20276.49,39,39,1,0,No Defect,1/1/23,1/1/23,14.099088736021544
1/8/23,PO-6006e97b,SU-005,North America,USA,PART-42399920,Cabin Filter,Filters,ea,50,23.87,1193.5,7,6,1,0,No Defect,1/1/23,1/1/23,28.259344083207427
1/8/23,PO-e9085602,SU-011,Asia,China,PART-83525011,Fuel Injector,Engines,ea,2,855.43,1710.86,60,60,1,0,No Defect,1/1/23,1/1/23,52.81460542842663
1/8/23,PO-b04a3d07,SU-008,North America,USA,PART-ff4f5d3e,Cab Glass,Cabs & Controls,ea,2,352.41,704.82,16,16,1,0,No Defect,1/1/23,1/1/23,10.34676771421877
1/8/23,PO-03fdf9d0,SU-011,Asia,China,PART-fb58317b,Engine Block,Engines,ea,1,4530.23,4530.23,48,48,1,0,No Defect,1/1/23,1/1/23,52.81460542842663
1/9/23,PO-47d7fe2c,SU-011,Asia,China,PART-3c303ce5,Diesel Engine,Engines,ea,3,33154.9,99464.7,40,40,1,0,No Defect,1/1/23,1/1/23,52.81460542842663
1/9/23,PO-13db9cac,SU-009,Asia,South Korea,PART-9ebe2a95,GPS Module,Electronics,ea,8,35.18,281.44,38,38,1,0,No Defect,1/1/23,1/1/23,66.0335627
1/9/23,PO-93778e75,SU-009,Europe,Germany,PART-0a30915c,Hydraulic Pump,Hydraulics,ea,12,400.79,4809.48,14,14,1,0,No Defect,1/1/23,1/1/23,66.0335627
1/9/23,PO-51dc18f4,SU-002,Europe,Germany,PART-0a30915c,Hydraulic Pump,Hydraulics,ea,7,401.55,2810.85,13,13,1,0,No Defect,1/1/23,1/1/23,5.7008987849036705
1/9/23,PO-f7ab668e,SU-011,Asia,India,PART-5902e85c,Ripper,Attachments,ea,1,1896.02,1896.02,40,40,1,0,No Defect,1/1/23,1/1/23,52.81460542842663
1/9/23,PO-ac844e20,SU-002,Europe,Germany,PART-9002654c,Seal Kit,Hydraulics,pk,14,87.41,1223.74,22,22,1,0,No Defect,1/1/23,1/1/23,5.7008987849036705
1/9/23,PO-23e47054,SU-010,Asia,South Korea,PART-c1cb8998,Steel Casting,Steel,lb,1529,3.06,4678.74,20,19,1,0,No Defect,1/1/23,1/1/23,32.01825109142046
1/9/23,PO-40fb000f,SU-012,North America,USA,PART-e4bd0da9,Hydraulic Filter,Filters,ea,157,33.8,5306.6,6,5,1,0,No Defect,1/1/23,1/1/23,1.138295252777513
1/9/23,PO-c52a43b0,SU-007,Europe,Netherlands,PART-ff9ed178,Coolant,Lubricants & Fluids,gal,37,25.07,927.59,5,5,1,0,No Defect,1/1/23,1/1/23,0.3178765324723068
1/9/23,PO-38ae2f98,SU-010,Asia,South Korea,PART-1b818820,Steel Beam,Steel,ft,275,12.2,3355,26,26,1,0,No Defect,1/1/23,1/1/23,32.01825109142046
1/10/23,PO-9fed19b3,SU-001,Asia,South Korea,PART-47327335,ECM (Engine Control Module),Electronics,ea,13,997.59,12968.67,33,33,1,1,Packaging Issue,1/1/23,1/1/23,54.04095128056674
1/10/23,PO-7bbea5b0,SU-001,Asia,India,PART-1b818820,Steel Beam,Steel,ft,2028,11.55,23423.4,22,22,1,0,No Defect,1/1/23,1/1/23,54.04095128056674
1/10/23,PO-1073366e,SU-003,Asia,India,PART-5b69155b,Piston,Engines,ea,1,68.81,68.81,58,55,1,0,No Defect,1/1/23,1/1/23,22.432362119695565
1/10/23,PO-31470150,SU-008,North America,USA,PART-ff4f5d3e,Cab Glass,Cabs & Controls,ea,16,352.41,5638.56,16,16,1,0,No Defect,1/1/23,1/1/23,10.34676771421877
1/10/23,PO-6ae67657,SU-009,Asia,South Korea,PART-0900a8a8,Pressure Sensor,Electronics,ea,3,201.4,604.2,34,34,1,1,Incorrect Specs,1/1/23,1/1/23,66.0335627
1/10/23,PO-7a8c45bd,SU-001,Asia,India,PART-1b818820,Steel Beam,Steel,ft,4170,11.55,48163.5,14,13,1,0,No Defect,1/1/23,1/1/23,54.04095128056674
1/10/23,PO-e2b29891,SU-012,North America,USA,PART-e4bd0da9,Hydraulic Filter,Filters,ea,56,33.8,1892.8,9,8,1,0,No Defect,1/1/23,1/1/23,1.138295252777513
1/10/23,PO-53b57a22,SU-001,Asia,South Korea,PART-86940171,Temperature Sensor,Electronics,ea,10,38.6,386,32,32,1,0,No Defect,1/1/23,1/1/23,54.04095128056674
1/10/23,PO-92a679d9,SU-010,North America,Mexico,PART-90c1ac34,Track Link,Undercarriage,ea,33,4834.28,159531.24,35,23,1,0,No Defect,1/1/23,1/1/23,32.01825109142046
1/10/23,PO-9cf3e76a,SU-010,Asia,South Korea,PART-115a79aa,Forged Steel Pin,Steel,ea,1556,118.86,184946.16,20,18,1,0,No Defect,1/1/23,1/1/23,32.01825109142046
1/11/23,PO-197221e1,SU-011,Asia,China,PART-83525011,Fuel Injector,Engines,ea,2,855.43,1710.86,42,28,1,0,No Defect,1/1/23,1/1/23,52.81460542842663
1/11/23,PO-08b90770,SU-010,Asia,South Korea,PART-c1cb8998,Steel Casting,Steel,lb,400,3.06,1224,20,20,1,0,No Defect,1/1/23,1/1/23,32.01825109142046
1/11/23,PO-16abc866,SU-002,Europe,Germany,PART-0cf80665,Hydraulic Cylinder,Hydraulics,ea,11,193.27,2125.97,27,27,1,0,No Defect,1/1/23,1/1/23,5.7008987849036705
1/11/23,PO-72973995,SU-009,Europe,Germany,PART-0a30915c,Hydraulic Pump,Hydraulics,ea,1,400.79,400.79,19,19,1,0,No Defect,1/1/23,1/1/23,66.0335627
1/11/23,PO-cd68985b,SU-009,Europe,Germany,PART-9002654c,Seal Kit,Hydraulics,pk,10,87.24,872.4,14,14,1,0,No Defect,1/1/23,1/1/23,66.0335627
1/11/23,PO-6f72874e,SU-004,Asia,India,PART-dee85722,Wheel Rim,Undercarriage,ea,1,519.91,519.91,32,28,1,0,No Defect,1/1/23,1/1/23,14.099088736021544
1/11/23,PO-cd5d3a45,SU-006,South America,Brazil,PART-2b5d6159,Fork Assembly,Attachments,ea,3,998.53,2995.59,48,48,1,0,No Defect,1/1/23,1/1/23,81.41017331730828
1/11/23,PO-bb28f2be,SU-003,Asia,India,PART-1750e948,Turbocharger,Engines,ea,1,1036.95,1036.95,35,27,1,0,No Defect,1/1/23,1/1/23,22.432362119695565
1/11/23,PO-2fbd093e,SU-007,Europe,Netherlands,PART-18b4954a,Engine Oil,Lubricants & Fluids,gal,28,19.8,554.4,5,5,1,0,No Defect,1/1/23,1/1/23,0.3178765324723068
1/11/23,PO-05ee4e2e,SU-009,Asia,South Korea,PART-86940171,Temperature Sensor,Electronics,ea,20,38.68,773.6,14,10,1,0,No Defect,1/1/23,1/1/23,66.0335627
1/12/23,PO-e03bf485,SU-011,Asia,China,PART-83525011,Fuel Injector,Engines,ea,1,855.43,855.43,30,21,1,0,No Defect,1/1/23,1/1/23,52.81460542842663
1/12/23,PO-73590d7c,SU-009,Asia,South Korea,PART-23d2e29d,Wiring Harness,Electronics,ft,16,0.61,9.76,42,42,1,0,No Defect,1/1/23,1/1/23,66.0335627
1/12/23,PO-35e8c9e7,SU-002,Europe,Germany,PART-9002654c,Seal Kit,Hydraulics,pk,17,87.41,1485.97,18,18,1,0,No Defect,1/1/23,1/1/23,5.7008987849036705
1/12/23,PO-5a5d5b97,SU-007,Europe,Netherlands,PART-5edada95,Hydraulic Fluid,Lubricants & Fluids,gal,83,22.99,1908.17,5,5,1,0,No Defect,1/1/23,1/1/23,0.3178765324723068
1/12/23,PO-45062375,SU-011,Asia,China,PART-1750e948,Turbocharger,Engines,ea,2,1038.02,2076.04,45,45,1,0,No Defect,1/1/23,1/1/23,52.81460542842663
1/12/23,PO-1a9e9f1f,SU-010,North America,Mexico,PART-02476ffd,Sprocket,Undercarriage,ea,38,490.91,18654.58,32,23,1,0,No Defect,1/1/23,1/1/23,32.01825109142046
1/12/23,PO-b3cbe09b,SU-001,Asia,India,PART-1b818820,Steel Beam,Steel,ft,835,11.55,9644.25,14,13,1,0,No Defect,1/1/23,1/1/23,54.04095128056674
1/12/23,PO-b8d852fa,SU-001,Asia,South Korea,PART-23d2e29d,Wiring Harness,Electronics,ft,24,0.61,14.64,38,38,1,0,No Defect,1/1/23,1/1/23,54.04095128056674
1/12/23,PO-59ee1c1e,SU-005,Asia,China,PART-4af45281,Washer,Fasteners,ea,196,0.1,19.6,7,7,1,0,No Defect,1/1/23,1/1/23,28.259344083207427
1/12/23,PO-2df66dfd,SU-008,North America,USA,PART-ff4f5d3e,Cab Glass,Cabs & Controls,ea,41,352.41,14448.81,24,21,1,0,No Defect,1/1/23,1/1/23,10.34676771421877
1/13/23,PO-3a013a3f,SU-011,Asia,China,PART-83525011,Fuel Injector,Engines,ea,3,855.43,2566.29,49,37,1,0,No Defect,1/1/23,1/1/23,52.81460542842663
1/13/23,PO-82e65f4b,SU-011,Asia,China,PART-5b69155b,Piston,Engines,ea,2,68.88,137.76,59,59,1,0,No Defect,1/1/23,1/1/23,52.81460542842663
1/13/23,PO-866c7ac4,SU-012,North America,USA,PART-a901d4b0,Engine Oil Filter,Filters,ea,8,14.81,118.48,10,10,1,0,No Defect,1/1/23,1/1/23,1.138295252777513
1/13/23,PO-88d8e9a4,SU-001,Asia,India,PART-1b818820,Steel Beam,Steel,ft,3865,11.55,44640.75,18,18,1,0,No Defect,1/1/23,1/1/23,54.04095128056674
1/13/23,PO-1ffdee0d,SU-005,North America,USA,PART-f2d432f3,Fuel Filter,Filters,ea,8,57.73,461.84,7,7,1,0,No Defect,1/1/23,1/1/23,28.259344083207427
1/13/23,PO-b489c0a1,SU-007,Europe,Netherlands,PART-5edada95,Hydraulic Fluid,Lubricants & Fluids,gal,173,22.99,3977.27,5,4,1,0,No Defect,1/1/23,1/1/23,0.3178765324723068
1/13/23,PO-dffcf904,SU-009,Europe,Germany,PART-0cf80665,Hydraulic Cylinder,Hydraulics,ea,1,192.9,192.9,27,27,1,0,No Defect,1/1/23,1/1/23,66.0335627
1/13/23,PO-539ad590,SU-004,Asia,India,PART-02476ffd,Sprocket,Undercarriage,ea,33,483.94,15970.02,35,35,1,0,No Defect,1/1/23,1/1/23,14.099088736021544
1/13/23,PO-ec9ad9ef,SU-007,Europe,Netherlands,PART-18b4954a,Engine Oil,Lubricants & Fluids,gal,44,19.8,871.2,5,4,1,0,No Defect,1/1/23,1/1/23,0.3178765324723068
1/13/23,PO-0b6007d3,SU-011,Asia,China,PART-1750e948,Turbocharger,Engines,ea,3,1038.02,3114.06,86,57,1,0,No Defect,1/1/23,1/1/23,52.81460542842663
1/14/23,PO-b7a7adec,SU-012,North America,USA,PART-f2d432f3,Fuel Filter,Filters,ea,80,59.54,4763.2,6,6,1,0,No Defect,1/1/23,1/1/23,1.138295252777513
1/14/23,PO-ab569fa2,SU-011,Asia,China,PART-5b69155b,Piston,Engines,ea,2,68.88,137.76,88,87,1,0,No Defect,1/1/23,1/1/23,52.81460542842663
1/14/23,PO-4d43c404,SU-009,Europe,Germany,PART-92688dfb,Hydraulic Hose,Hydraulics,ft,17,3.49,59.33,22,22,1,0,No Defect,1/1/23,1/1/23,66.0335627
1/14/23,PO-c1a99c24,SU-001,Asia,India,PART-115a79aa,Forged Steel Pin,Steel,ea,4756,112.5,535050,14,10,1,0,No Defect,1/1/23,1/1/23,54.04095128056674
1/14/23,PO-0e46bc11,SU-007,Europe,Netherlands,PART-ff9ed178,Coolant,Lubricants & Fluids,gal,27,25.07,676.89,5,4,1,0,No Defect,1/1/23,1/1/23,0.3178765324723068
1/14/23,PO-347573ea,SU-011,Asia,China,PART-fb58317b,Engine Block,Engines,ea,2,4530.23,9060.46,44,44,1,0,No Defect,1/1/23,1/1/23,52.81460542842663
1/14/23,PO-57b8839d,SU-010,Asia,South Korea,PART-115a79aa,Forged Steel Pin,Steel,ea,453,118.86,53843.58,20,20,1,0,No Defect,1/1/23,1/1/23,32.01825109142046
1/14/23,PO-f7d79b35,SU-004,Asia,India,PART-02476ffd,Sprocket,Undercarriage,ea,17,483.94,8226.98,19,18,1,0,No Defect,1/1/23,1/1/23,14.099088736021544
1/14/23,PO-5ee85527,SU-005,Asia,China,PART-b34ef8fd,Hex Bolt,Fasteners,ea,764,3.7,2826.8,7,7,1,0,No Defect,1/1/23,1/1/23,28.259344083207427
1/14/23,PO-0827c112,SU-001,Asia,India,PART-115a79aa,Forged Steel Pin,Steel,ea,618,112.5,69525,22,20,1,0,No Defect,1/1/23,1/1/23,54.04095128056674
